x,d,v,p,e
0.000000,0.717143,0.042202,0.627897,2.188886
0.010101,0.753242,0.033499,0.673012,2.233720
0.020202,0.728802,0.059252,0.642667,2.204533
0.030303,0.757446,0.062277,0.678594,2.239744
0.040404,0.724289,0.093147,0.637595,2.200762
0.050505,0.747627,0.099326,0.666720,2.229455
0.060606,0.711148,0.131464,0.622000,2.186606
0.070707,0.731209,0.137340,0.646806,2.211426
0.080808,0.692858,0.170745,0.600324,2.166115
0.090909,0.710528,0.175406,0.621928,2.188258
0.101010,0.670897,0.210433,0.574539,2.140937
0.111111,0.686616,0.213811,0.593510,2.160997
0.121212,0.646162,0.250618,0.545874,2.111987
0.131313,0.660226,0.252886,0.562604,2.130344
0.141414,0.619386,0.291451,0.515323,2.079975
0.151515,0.632037,0.292829,0.530131,2.096918
0.161616,0.591222,0.333019,0.483744,2.045528
0.171717,0.602662,0.333716,0.496906,2.061295
0.181818,0.562244,0.375337,0.451869,2.009220
0.191919,0.572648,0.375532,0.463618,2.024009
0.202020,0.532953,0.418354,0.420302,1.971572
0.212121,0.542461,0.418193,0.430832,1.985545
0.222222,0.503772,0.461959,0.389528,1.933056
0.232323,0.512498,0.461556,0.398999,1.946343
0.242424,0.475054,0.505989,0.359921,1.894106
0.252525,0.483092,0.505434,0.368466,1.906810
0.262626,0.447097,0.550227,0.331769,1.855127
0.272727,0.454521,0.549587,0.339496,1.867327
0.282828,0.420152,0.594397,0.305285,1.816513
0.292929,0.427022,0.593724,0.312285,1.828273
0.303030,0.394436,0.638151,0.280628,1.778668
0.313131,0.400804,0.637485,0.286981,1.790035
0.323232,0.370145,0.681048,0.257921,1.742031
0.333333,0.376052,0.680425,0.263694,1.753043
0.343434,0.347459,0.722528,0.237261,1.707113
0.353535,0.352942,0.721982,0.242513,1.717796
0.363636,0.326558,0.761877,0.218734,1.674541
0.373737,0.331646,0.761443,0.223517,1.684910
0.383838,0.307617,0.798185,0.202427,1.645120
0.393939,0.312337,0.797911,0.206789,1.655178
0.404040,0.290809,0.830331,0.188434,1.619907
0.414141,0.295182,0.830278,0.192416,1.629641
0.424242,0.276291,0.856990,0.176858,1.600286
0.434343,0.280332,0.857238,0.180496,1.609660
0.444444,0.264167,0.876721,0.167801,1.588016
0.454545,0.267889,0.877374,0.171124,1.596967
0.464646,0.254447,0.888182,0.161340,1.585198
0.474747,0.257858,0.889358,0.164372,1.593632
0.484848,0.246981,0.890446,0.157485,1.594096
0.494949,0.250091,0.892262,0.160248,1.601893
0.505051,0.241421,0.883368,0.156130,1.616786
0.515152,0.244242,0.885913,0.158642,1.623821
0.525253,0.237221,0.867819,0.157012,1.654708
0.535354,0.239772,0.871127,0.159293,1.660881
0.545455,0.233723,0.845611,0.159703,1.708255
0.555556,0.236030,0.849648,0.161777,1.713519
0.565657,0.230301,0.819106,0.163654,1.776521
0.575758,0.232395,0.823773,0.165549,1.780906
0.585859,0.226521,0.790656,0.168282,1.857241
0.595960,0.228429,0.795818,0.170029,1.860859
0.606061,0.222229,0.762124,0.173057,1.946832
0.616162,0.223973,0.767640,0.174687,1.949869
0.626263,0.217537,0.734618,0.177559,2.040551
0.636364,0.219133,0.740362,0.179097,2.043250
0.646465,0.212718,0.708436,0.181474,2.132807
0.656566,0.214176,0.714314,0.182944,2.135436
0.666667,0.208047,0.683112,0.184554,2.217694
0.676768,0.209379,0.689062,0.185971,2.220512
0.686869,0.203670,0.657476,0.186537,2.289695
0.696970,0.204887,0.663470,0.187915,2.292911
0.707071,0.199508,0.629681,0.187085,2.344320
0.717172,0.200625,0.635714,0.188432,2.348062
0.727273,0.195237,0.597239,0.185744,2.378438
0.737374,0.196271,0.603315,0.187065,2.382740
0.747475,0.190344,0.557199,0.181990,2.390280
0.757576,0.191310,0.563308,0.183280,2.395077
0.767677,0.184282,0.506672,0.175388,2.379343
0.777778,0.185183,0.512749,0.176625,2.384474
0.787879,0.176706,0.443878,0.165867,2.346661
0.797980,0.177530,0.449768,0.167011,2.351865
0.808081,0.167729,0.369652,0.154018,2.295647
0.818182,0.168451,0.375094,0.155013,2.300566
0.828283,0.158040,0.288690,0.141162,2.233013
0.838384,0.158630,0.293360,0.141959,2.237259
0.848485,0.148716,0.209182,0.128988,2.168357
0.858586,0.149157,0.212820,0.129566,2.171634
0.868687,0.140774,0.139978,0.118888,2.111330
0.878788,0.141073,0.142514,0.119267,2.113565
0.888889,0.134762,0.086759,0.111467,2.067847
0.898990,0.134945,0.088343,0.111691,2.069200
0.909091,0.130665,0.050247,0.106550,2.038607
0.919192,0.130768,0.051143,0.106673,2.039348
0.929293,0.128111,0.027489,0.103555,2.020802
0.939394,0.128165,0.027958,0.103618,2.021178
0.949495,0.126630,0.014351,0.101848,2.010734
0.959596,0.126657,0.014582,0.101878,2.010914
0.969697,0.125824,0.007247,0.100930,2.005368
0.979798,0.125837,0.007355,0.100944,2.005451
0.989899,0.125435,0.003846,0.100489,2.002813
1.000000,0.125440,0.003892,0.100495,2.002848
